METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE
4847,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Lima St & Fortitude St in Auchenflower,10,0,,152.999924,-27.476702,4000215
4848,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Fortitude St & Kingsford St in Auchenflower,11,0,,153.000695,-27.475993,4000215
4849,TICKETLESS METER MULTISPACE,DUNMORE TCE,AUCHENFLOWER,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Dunmore Tce between Kingsford St & Lang Pde in Auchenflower,19,0,,153.001408,-27.475273,4000215
4850,TICKETLESS METER MULTISPACE,LANG PDE,MILTON,2,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$2.70,,Lang Pde between Dunmore Tce & Kingsford St in Auchenflower,11,0,,153.001894,-27.474247,4000232
4851,TICKETLESS METER MULTISPACE,ROSS ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Ross St between Durong St & Edmund St in Bowen Hills ,4,0,,153.043524,-27.441998,4000588
4852,TICKETLESS METER MULTISPACE,ROSS ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Ross St between Durong St & Edmund St in Bowen Hills ,16,0,,153.043198,-27.442521,4000588
4853,TICKETLESS METER MULTISPACE,ROSS ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Ross St between Durong St & Edmund St in Bowen Hills ,4,0,,153.042676,-27.443369,4000588
4854,TICKETLESS METER MULTISPACE,COWLISHAW ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Cowlishaw St between Down St & Montepelier Rd in Bowen Hills,6,0,,153.038588,-27.447921,4000519
4855,TICKETLESS METER MULTISPACE,EDMONDSTONE RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Edmonstone Rd between Thompson St & Wickham Grove in Bowen Hills,4,0,,153.040913,-27.442645,4000494
4856,TICKETLESS METER MULTISPACE,MURRAY ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Murray St between End & Thompson St in Bowen Hills,5,0,,153.040397,-27.441443,4000492
4857,TICKETLESS METER MULTISPACE,MURRAY ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Murray St between Thompson St & End in Bowen Hills,8,0,,153.040566,-27.441627,4000492
4859,TICKETLESS METER MULTISPACE,WICKHAM GR,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",$1.60,,Wickham Grove between Ross St & Edmonstone Rd in Bowen Hills,13,0,,153.042123,-27.443007,4000561
